player_id,firstname,lastname,position,height,weight,byear,rookie
599805,Donatas,Motiejunas,Forward,84,222,1990,2012
400599,Chandler,Parsons,Forward,81,227,1988,2011
515415,Greg,Smith,Forward-Center,82,250,1991,2011
553573,Terrence,Jones,Forward,81,252,1992,2012
509094,Isaiah,Canaan,Point Guard,73,195,1991,2013
525052,Robert,Covington,Power Forward,81,215,1990,2013
168058,Rasual,Butler,Guard-Forward,79,220,1979,2002
168061,Luis,Scola,Forward-Center,81,240,1980,2007
57934,David,West,Power Forward,81,255,1980,2003
66433,Danny,Granger,Small Forward,81,228,1983,2005
292393,Ian,Mahinmi,Center,83,250,1986,2007
174025,C.J.,Watson,Point Guard,74,180,1984,2007
266369,Roy,Hibbert,Center,86,285,1986,2008
277552,George,Hill,Guard,74,190,1986,2008
469218,Paul,George,Guard-Forward,81,225,1990,2010
511057,Lance,Stephenson,Guard-Forward,77,227,1990,2010
330374,Donald,Sloan,Guard,75,210,1988,2011
411428,Orlando,Johnson,Small Forward,77,225,1989,2012
174092,Chris,Copeland,Forward,80,235,1984,2012
509169,Solomon,Hill,Small Forward,79,225,1991,2013
3192,Stephen,Jackson,Guard-Forward,80,220,1978,2000
3229,Antawn,Jamison,Power Forward,81,235,1976,1998
3388,Jamal,Crawford,Guard,77,195,1980,2000
3396,Hedo,Turkoglu,Forward,82,220,1979,2000
168051,Matt,Barnes,Small Forward,79,226,1980,2003
58948,Willie,Green,Shooting Guard,75,205,1981,2003
229598,Chris,Paul,Point Guard,72,185,1985,2005
172643,J.J.,Redick,Shooting Guard,76,190,1984,2006
177575,Ryan,Hollins,Center,84,250,1984,2006
241712,Jared,Dudley,Guard-Forward,79,225,1985,2007
398142,DeAndre,Jordan,Center,83,265,1988,2008
399725,Blake,Griffin,Forward-Center,82,250,1989,2009
295432,Darren,Collison,Point Guard,72,175,1987,2009
468576,Byron,Mullens,Forward-Center,84,275,1989,2009
511638,Darius,Morris,Guard,76,195,1991,2011
513565,Maalik,Wayns,Guard,74,195,1991,2012
552335,Reggie,Bullock,Guard-Forward,79,200,1991,2013
3085,Steve,Nash,Point Guard,75,180,1974,1996
3100,Kobe,Bryant,Guard,78,205,1978,1996
3494,Pau,Gasol,Forward-Center,84,275,1980,2001
62176,Chris,Kaman,Forward-Center,84,265,1982,2003
58258,Steve,Blake,Guard,75,175,1980,2003
264019,Shawne,Williams,Forward,79,230,1986,2006
263231,Jordan,Farmar,Point Guard,74,180,1986,2006
263228,Nick,Young,Guard-Forward,79,210,1985,2007
329711,Jordan,Hill,Forward-Center,82,235,1987,2009
329862,Jodie,Meeks,Shooting Guard,76,210,1987,2009
329544,Wesley,Johnson,Guard-Forward,79,215,1987,2010
513058,Xavier,Henry,Guard-Forward,78,220,1991,2010
401093,Manny,Harris,Shooting Guard,77,185,1989,2010
552334,Kendall,Marshall,Point Guard,76,195,1991,2012
400617,Robert,Sacre,Center,84,260,1989,2012
510784,Ryan,Kelly,Power Forward,83,230,1991,2013
514883,Elias,Harris,Power Forward,80,220,1989,2013
3385,Mike,Miller,Guard-Forward,80,218,1980,2000
3512,Zach,Randolph,Forward-Center,81,260,1981,2001
168029,Tayshaun,Prince,Forward,81,215,1980,2002
172922,Tony,Allen,Guard-Forward,76,213,1982,2004
329468,Mike,Conley,Point Guard,73,180,1987,2007
393441,Marc,Gasol,Center,85,265,1985,2008
276755,Courtney,Lee,Guard-Forward,77,200,1985,2008
398066,Kosta,Koufos,Forward-Center,84,265,1989,2008
398037,James,Johnson,Forward,81,248,1987,2009
400594,Nick,Calathes,Guard,78,213,1989,2013
462458,Ed,Davis,Forward-Center,82,225,1989,2010
329825,Quincy,Pondexter,Guard-Forward,78,225,1988,2010
398090,Jon,Leuer,Forward-Center,82,228,1989,2011
561509,Jamaal,Franklin,Guard-Forward,77,191,1991,2013
463135,Seth,Curry,Point Guard,74,185,1990,2013
3062,Ray,Allen,Shooting Guard,77,205,1975,1996
3257,Rashard,Lewis,Forward,82,235,1979,1998
3497,Shane,Battier,Guard-Forward,80,220,1978,2001
75344,Chris,Andersen,Forward-Center,82,245,1978,2001
168036,Roger,Mason Jr.,Shooting Guard,77,205,1980,2002
214152,LeBron,James,Forward,80,250,1984,2003
172631,Chris,Bosh,Forward-Center,83,235,1984,2003
61849,Dwyane,Wade,Guard,76,220,1982,2003
58360,James,Jones,Guard-Forward,80,215,1980,2003
226806,Udonis,Haslem,Power Forward,80,235,1980,2003
329469,Greg,Oden,Center,84,273,1988,2007
405345,Michael,Beasley,Forward,82,235,1989,2008
296572,Mario,Chalmers,Point Guard,74,190,1986,2008
262894,Toney,Douglas,Guard,74,185,1986,2009
410831,Norris,Cole,Point Guard,74,175,1988,2011
168016,Caron,Butler,Small Forward,79,217,1980,2002
62414,Luke,Ridnour,Guard,74,175,1981,2003
214160,Carlos,Delfino,Guard-Forward,78,220,1982,2004
214168,Zaza,Pachulia,Center,83,240,1984,2003
292396,Ersan,Ilyasova,Forward,82,235,1987,2005
395372,O.J.,Mayo,Guard,77,200,1987,2008
331197,Ekpe,Udoh,Forward-Center,82,245,1987,2010
401618,Larry,Sanders,Forward-Center,83,235,1988,2010
173407,Gary,Neal,Guard,76,210,1984,2010
553575,Brandon,Knight,Guard,75,189,1991,2011
502871,John,Henson,Forward-Center,83,220,1990,2012
512053,Khris,Middleton,Forward,79,215,1991,2012
739957,Giannis,Antetokounmpo,Guard-Forward,81,210,1994,2013
523820,Nate,Wolters,Point Guard,76,190,1991,2013
553333,Miroslav,Raduljica,Center,85,280,1988,2013
66903,Kevin,Martin,Guard-Forward,79,197,1983,2004
76721,Ronny,Turiaf,Forward-Center,82,241,1983,2005
173520,J.J.,Barea,Point Guard,72,178,1984,2006
263217,Corey,Brewer,Guard-Forward,81,185,1986,2007
395374,Kevin,Love,Forward-Center,82,243,1988,2008
456452,Nikola,Pekovic,Center,83,285,1986,2010
295436,Luc Richard,Mbah a Moute,Forward,80,230,1986,2008
503689,Ricky,Rubio,Point Guard,76,185,1990,2011
295799,Dante,Cunningham,Power Forward,80,221,1987,2009
329710,Chase,Budinger,Guard-Forward,79,209,1988,2009
329482,A.J.,Price,Point Guard,74,195,1986,2009
398421,Robbie,Hummel,Forward,80,220,1989,2013
561872,Alexey,Shved,Guard,78,187,1988,2012
697722,Shabazz,Muhammad,Small Forward,78,222,1992,2013
